l_cs,v_swing,vbias_SW_cas,w_cs,w_sw,SFDR(-HD3),pwr,i_fullscale
4E-07,0.1,1.2,2.5E-07,4E-07,63.62,0.01315,0.003453
4E-07,0.1,1.2,2.5E-07,5E-07,62.46,0.01315,0.003334
4E-07,0.1,1.2,2.5E-07,6E-07,61.74,0.01316,0.003212
4E-07,0.1,1.2,2.5E-07,7E-07,61.22,0.01316,0.003038
4E-07,0.1,1.2,5E-07,4E-07,62.69,0.02374,0.003498
4E-07,0.1,1.2,5E-07,5E-07,61.66,0.02376,0.003347
4E-07,0.1,1.2,5E-07,6E-07,61.61,0.02378,0.003304
4E-07,0.1,1.2,5E-07,7E-07,63.3,0.02379,0.003202
4E-07,0.1,1.2,7.5E-07,4E-07,64.31,0.03416,0.00342
4E-07,0.1,1.2,7.5E-07,5E-07,64.32,0.03422,0.003347
4E-07,0.1,1.2,7.5E-07,6E-07,64.64,0.03425,0.003284
4E-07,0.1,1.2,7.5E-07,7E-07,64.99,0.03428,0.003172
4E-07,0.1,1.2,1E-06,4E-07,69.39,0.04385,0.003384
4E-07,0.1,1.2,1E-06,5E-07,69.77,0.04398,0.003328
4E-07,0.1,1.2,1E-06,6E-07,73.05,0.04405,0.003261
4E-07,0.1,1.2,1E-06,7E-07,66.98,0.04411,0.003183
4E-07,0.1,1.2,1.25E-06,4E-07,73.58,0.05198,0.003365
4E-07,0.1,1.2,1.25E-06,5E-07,75.11,0.05222,0.003313
4E-07,0.1,1.2,1.25E-06,6E-07,74.58,0.05236,0.003235
4E-07,0.1,1.2,1.25E-06,7E-07,69.07,0.05246,0.003159
4E-07,0.1,1.2,1.5E-06,4E-07,72.05,0.05858,0.003344
4E-07,0.1,1.2,1.5E-06,5E-07,80.99,0.05894,0.003258
4E-07,0.1,1.2,1.5E-06,6E-07,71.62,0.05917,0.003225
4E-07,0.1,1.2,1.5E-06,7E-07,65.83,0.05934,0.003151
4E-07,0.1,1.2,1.75E-06,4E-07,74.91,0.06375,0.00333
4E-07,0.1,1.2,1.75E-06,5E-07,77.9,0.06425,0.003249
4E-07,0.1,1.2,1.75E-06,6E-07,72.3,0.06457,0.003211
4E-07,0.1,1.2,1.75E-06,7E-07,64.72,0.0648,0.003142
4E-07,0.1,1.2,2E-06,4E-07,77.65,0.06781,0.003321
4E-07,0.1,1.2,2E-06,5E-07,75.99,0.06842,0.003238
4E-07,0.1,1.2,2E-06,6E-07,71.96,0.06882,0.0032
4E-07,0.1,1.2,2E-06,7E-07,65.06,0.06911,0.003134
5E-07,0.1,1.2,2.5E-07,4E-07,63.88,0.01135,0.003511
5E-07,0.1,1.2,2.5E-07,5E-07,62.81,0.01135,0.003403
5E-07,0.1,1.2,2.5E-07,6E-07,62.18,0.01135,0.003303
5E-07,0.1,1.2,2.5E-07,7E-07,61.35,0.01136,0.003149
5E-07,0.1,1.2,5E-07,4E-07,63,0.02073,0.003548
5E-07,0.1,1.2,5E-07,5E-07,65.85,0.02075,0.003445
5E-07,0.1,1.2,5E-07,6E-07,64.34,0.02076,0.003355
5E-07,0.1,1.2,5E-07,7E-07,60.93,0.02077,0.003248
5E-07,0.1,1.2,7.5E-07,4E-07,63.11,0.0301,0.003477
5E-07,0.1,1.2,7.5E-07,5E-07,62.08,0.03014,0.003411
5E-07,0.1,1.2,7.5E-07,6E-07,61.73,0.03016,0.003346
5E-07,0.1,1.2,7.5E-07,7E-07,61.79,0.03018,0.003237
5E-07,0.1,1.2,1E-06,4E-07,68.07,0.03903,0.003436
5E-07,0.1,1.2,1E-06,5E-07,68.31,0.03911,0.003374
5E-07,0.1,1.2,1E-06,6E-07,66.34,0.03916,0.003293
5E-07,0.1,1.2,1E-06,7E-07,67.65,0.0392,0.003207
5E-07,0.1,1.2,1.25E-06,4E-07,71.1,0.04678,0.003401
5E-07,0.1,1.2,1.25E-06,5E-07,71.81,0.04694,0.0033
5E-07,0.1,1.2,1.25E-06,6E-07,74.93,0.04703,0.003266
5E-07,0.1,1.2,1.25E-06,7E-07,67.82,0.0471,0.003187
5E-07,0.1,1.2,1.5E-06,4E-07,70.01,0.05341,0.003373
5E-07,0.1,1.2,1.5E-06,5E-07,77.27,0.05368,0.003283
5E-07,0.1,1.2,1.5E-06,6E-07,74.25,0.05384,0.003237
5E-07,0.1,1.2,1.5E-06,7E-07,69.02,0.05396,0.003168
5E-07,0.1,1.2,1.75E-06,4E-07,72.63,0.05887,0.003353
5E-07,0.1,1.2,1.75E-06,5E-07,81.41,0.05925,0.003263
5E-07,0.1,1.2,1.75E-06,6E-07,71.96,0.05949,0.003222
5E-07,0.1,1.2,1.75E-06,7E-07,64.72,0.05966,0.003154
5E-07,0.1,1.2,2E-06,4E-07,75.06,0.06328,0.003339
5E-07,0.1,1.2,2E-06,5E-07,77.71,0.06377,0.003249
5E-07,0.1,1.2,2E-06,6E-07,72.81,0.06409,0.00321
5E-07,0.1,1.2,2E-06,7E-07,64.91,0.06431,0.003144
