vctrl,w_input,w_int_tail,w_tail,res,fout,power,out_max,out_min,,,,,,,,
0,0.0000005,0.000002,0.000002,400,1.39E+10,1.96E-03,8.55E-01,7.39E-01,,,,,,,,
0,0.0000005,0.000002,0.000002,450,6.60E+09,1.93E-03,9.71E-01,5.64E-01,,,,,,,,
0,0.0000005,0.000002,0.000002,500,6.35E+09,1.91E-03,9.66E-01,5.17E-01,,,,,,,,
0,0.0000005,0.000002,0.000002,550,6.29E+09,1.88E-03,9.59E-01,4.71E-01,,,,,,,,
0,0.0000005,0.000002,0.000002,600,6.14E+09,1.85E-03,9.50E-01,4.27E-01,,,,,,,,
0,0.0000005,0.000002,0.000002,650,6.04E+09,1.83E-03,9.40E-01,3.92E-01,,,,,,,,
0,0.0000005,0.000002,0.000002,700,6.08E+09,1.80E-03,9.30E-01,3.56E-01,,,,,,,,
0,0.0000005,0.000002,0.0000025,400,8.57E+09,2.05E-03,9.72E-01,5.83E-01,,,,,,,,
0,0.0000005,0.000002,0.0000025,450,6.40E+09,2.02E-03,9.70E-01,5.43E-01,,,,,,,,
0,0.0000005,0.000002,0.0000025,500,6.57E+09,1.99E-03,9.65E-01,4.96E-01,,,,,,,,
0,0.0000005,0.000002,0.0000025,550,6.29E+09,1.96E-03,9.57E-01,4.49E-01,,,,,,,,
0,0.0000005,0.000002,0.0000025,600,6.24E+09,1.94E-03,9.49E-01,4.08E-01,,,,,,,,
0,0.0000005,0.000002,0.0000025,650,6.24E+09,1.91E-03,9.38E-01,3.71E-01,,,,,,,,
0,0.0000005,0.000002,0.0000025,700,6.08E+09,1.88E-03,9.27E-01,3.36E-01,,,,,,,,
0,0.0000005,0.000002,0.000003,400,7.04E+09,2.12E-03,9.72E-01,5.69E-01,,,,,,,,
0,0.0000005,0.000002,0.000003,450,6.40E+09,2.09E-03,9.70E-01,5.30E-01,,,,,,,,
0,0.0000005,0.000002,0.000003,500,6.37E+09,2.06E-03,9.65E-01,4.82E-01,,,,,,,,
0,0.0000005,0.000002,0.000003,550,6.35E+09,2.03E-03,9.56E-01,4.34E-01,,,,,,,,
0,0.0000005,0.000002,0.000003,600,6.19E+09,1.99E-03,9.47E-01,3.92E-01,,,,,,,,
