vctrl,w_input,w_int_tail,w_tail,res,fout,power,out_max,out_min
1,0.0000005,0.000003,0.000002,400,6.69E+09,3.20E-03,6.78E-01,6.77E-01
1,0.0000005,0.000003,0.000002,500,1.54E+10,2.99E-03,8.27E-01,4.28E-01
1,0.0000005,0.000003,0.000002,600,1.19E+10,2.76E-03,8.16E-01,3.51E-01
1,0.0000005,0.000003,0.000002,700,1.17E+10,2.54E-03,8.03E-01,2.95E-01
1,0.0000005,0.000003,0.000002,800,1.06E+10,2.34E-03,7.88E-01,2.56E-01
1,0.0000005,0.000003,0.0000025,400,1.98E+10,3.37E-03,8.39E-01,4.96E-01
1,0.0000005,0.000003,0.0000025,500,1.49E+10,3.11E-03,8.22E-01,4.00E-01
1,0.0000005,0.000003,0.0000025,600,1.30E+10,2.84E-03,8.12E-01,3.26E-01
1,0.0000005,0.000003,0.0000025,700,1.18E+10,2.60E-03,7.96E-01,2.76E-01
1,0.0000005,0.000003,0.0000025,800,1.07E+10,2.40E-03,7.81E-01,2.39E-01
1,0.0000005,0.000003,0.000003,400,1.85E+10,3.48E-03,8.36E-01,4.74E-01
1,0.0000005,0.000003,0.000003,500,1.50E+10,3.19E-03,8.21E-01,3.80E-01
1,0.0000005,0.000003,0.000003,600,1.08E+10,2.90E-03,8.07E-01,3.17E-01
1,0.0000005,0.000003,0.000003,700,1.18E+10,2.65E-03,7.93E-01,2.62E-01
1,0.0000005,0.000003,0.000003,800,1.07E+10,2.43E-03,7.77E-01,2.28E-01
1,0.0000005,0.0000035,0.000002,400,1.20E+10,3.30E-03,6.74E-01,6.63E-01
1,0.0000005,0.0000035,0.000002,500,1.47E+10,3.06E-03,8.25E-01,4.10E-01
1,0.0000005,0.0000035,0.000002,600,1.29E+10,2.81E-03,8.16E-01,3.34E-01
1,0.0000005,0.0000035,0.000002,700,1.01E+10,2.57E-03,5.47E-01,5.47E-01
1,0.0000005,0.0000035,0.000002,800,8.53E+09,2.37E-03,5.23E-01,5.23E-01
1,0.0000005,0.0000035,0.0000025,400,1.01E+10,3.47E-03,6.53E-01,6.48E-01
1,0.0000005,0.0000035,0.0000025,500,1.43E+10,3.18E-03,8.23E-01,3.79E-01
1,0.0000005,0.0000035,0.0000025,600,1.13E+10,2.89E-03,5.64E-01,5.64E-01
1,0.0000005,0.0000035,0.0000025,700,9.66E+09,2.64E-03,5.35E-01,5.35E-01
1,0.0000005,0.0000035,0.0000025,800,5.01E+09,2.42E-03,5.13E-01,5.13E-01
1,0.0000005,0.0000035,0.000003,400,1.23E+10,3.59E-03,6.39E-01,6.39E-01
1,0.0000005,0.0000035,0.000003,500,1.42E+10,3.26E-03,8.21E-01,3.59E-01
1,0.0000005,0.0000035,0.000003,600,1.60E+10,2.95E-03,8.01E-01,2.98E-01
1,0.0000005,0.0000035,0.000003,700,1.19E+10,2.68E-03,7.89E-01,2.51E-01
