"R_driver","l_cs_driver","v_swing","vbias","w_cs_driver","w_sw","pwr","output_swing","rise_time","fall_time"
40,3.00E-007,3.00E-001,4.00E-001,6.00E-006,4.00E-007,3.40E-003,1.67E-001,8.91E-012,3.79E-012
40,3.00E-007,3.00E-001,4.00E-001,6.00E-006,5.00E-007,3.40E-003,1.65E-001,9.09E-012,3.79E-012
40,3.00E-007,3.00E-001,4.00E-001,6.00E-006,6.00E-007,3.40E-003,1.64E-001,9.22E-012,3.80E-012
40,3.00E-007,3.00E-001,4.00E-001,6.00E-006,7.00E-007,3.40E-003,1.63E-001,9.33E-012,3.80E-012
40,3.00E-007,3.00E-001,5.00E-001,6.00E-006,4.00E-007,6.43E-003,2.64E-001,6.92E-012,4.27E-012
40,3.00E-007,3.00E-001,5.00E-001,6.00E-006,5.00E-007,6.43E-003,2.62E-001,7.00E-012,4.28E-012
40,3.00E-007,3.00E-001,5.00E-001,6.00E-006,6.00E-007,6.43E-003,2.60E-001,7.08E-012,4.29E-012
40,3.00E-007,3.00E-001,5.00E-001,6.00E-006,7.00E-007,6.43E-003,2.58E-001,7.15E-012,4.29E-012
40,3.00E-007,3.00E-001,6.00E-001,6.00E-006,4.00E-007,9.82E-003,3.50E-001,6.12E-012,4.90E-012
40,3.00E-007,3.00E-001,6.00E-001,6.00E-006,5.00E-007,9.82E-003,3.49E-001,6.22E-012,4.93E-012
40,3.00E-007,3.00E-001,6.00E-001,6.00E-006,6.00E-007,9.82E-003,3.49E-001,6.32E-012,4.95E-012
40,3.00E-007,3.00E-001,6.00E-001,6.00E-006,7.00E-007,9.82E-003,3.49E-001,6.41E-012,4.99E-012
40,3.00E-007,3.00E-001,7.00E-001,6.00E-006,4.00E-007,1.31E-002,4.07E-001,5.87E-012,5.48E-012
40,3.00E-007,3.00E-001,7.00E-001,6.00E-006,5.00E-007,1.31E-002,4.07E-001,5.91E-012,5.51E-012
40,3.00E-007,3.00E-001,7.00E-001,6.00E-006,6.00E-007,1.31E-002,4.06E-001,5.99E-012,5.53E-012
40,3.00E-007,3.00E-001,7.00E-001,6.00E-006,7.00E-007,1.31E-002,4.06E-001,6.08E-012,5.55E-012
40,3.00E-007,4.00E-001,4.00E-001,6.00E-006,4.00E-007,3.39E-003,1.90E-001,1.04E-011,3.22E-012
40,3.00E-007,4.00E-001,4.00E-001,6.00E-006,5.00E-007,3.39E-003,1.88E-001,1.04E-011,3.21E-012
40,3.00E-007,4.00E-001,4.00E-001,6.00E-006,6.00E-007,3.39E-003,1.86E-001,1.05E-011,3.21E-012
