CP_out_width,nor_n_width,nor_p_width,tspc_n_width,tspc_p_width,vdd,deadzone,power
7.2e-07,2.25e-07,3.6e-07,2.25e-07,3.6e-07,0.8,4.1117e-12,0.0029935
7.2e-07,2.25e-07,3.6e-07,2.25e-07,3.6e-07,0.9,-2.7465e-13,0.0039455
7.2e-07,2.25e-07,3.6e-07,2.25e-07,3.6e-07,1.0,-2.0019e-12,0.0051231
7.2e-07,2.25e-07,3.6e-07,2.25e-07,4e-07,0.8,3.9497e-12,0.0030014
7.2e-07,2.25e-07,3.6e-07,2.25e-07,4e-07,0.9,-3.1033e-13,0.0039552
7.2e-07,2.25e-07,3.6e-07,2.25e-07,4e-07,1.0,-1.9225e-12,0.0051358
7.2e-07,2.25e-07,3.6e-07,2.25e-07,4.4e-07,0.8,3.8153e-12,0.0030093
7.2e-07,2.25e-07,3.6e-07,2.25e-07,4.4e-07,0.9,-3.5029e-13,0.0039651
7.2e-07,2.25e-07,3.6e-07,2.25e-07,4.4e-07,1.0,-1.8563e-12,0.0051486
7.2e-07,2.25e-07,3.6e-07,2.5e-07,3.6e-07,0.8,4.3817e-12,0.0030033
7.2e-07,2.25e-07,3.6e-07,2.5e-07,3.6e-07,0.9,-1.6155e-14,0.0039595
7.2e-07,2.25e-07,3.6e-07,2.5e-07,3.6e-07,1.0,-1.8436e-12,0.0051417
7.2e-07,2.25e-07,3.6e-07,2.5e-07,4e-07,0.8,4.2261e-12,0.0030113
7.2e-07,2.25e-07,3.6e-07,2.5e-07,4e-07,0.9,-2.6796e-14,0.0039694
7.2e-07,2.25e-07,3.6e-07,2.5e-07,4e-07,1.0,-1.746e-12,0.0051545
7.2e-07,2.25e-07,3.6e-07,2.5e-07,4.4e-07,0.8,4.0953e-12,0.0030192
7.2e-07,2.25e-07,3.6e-07,2.5e-07,4.4e-07,0.9,-4.2719e-14,0.0039793
7.2e-07,2.25e-07,3.6e-07,2.5e-07,4.4e-07,1.0,-1.6659e-12,0.0051674
7.2e-07,2.25e-07,3.6e-07,2.75e-07,3.6e-07,0.8,4.6272e-12,0.0030131
7.2e-07,2.25e-07,3.6e-07,2.75e-07,3.6e-07,0.9,1.8604e-13,0.0039736
7.2e-07,2.25e-07,3.6e-07,2.75e-07,3.6e-07,1.0,-1.7095e-12,0.0051603
7.2e-07,2.25e-07,3.6e-07,2.75e-07,4e-07,0.8,4.4707e-12,0.0030211
7.2e-07,2.25e-07,3.6e-07,2.75e-07,4e-07,0.9,1.9543e-13,0.0039835
7.2e-07,2.25e-07,3.6e-07,2.75e-07,4e-07,1.0,-1.5976e-12,0.0051732
7.2e-07,2.25e-07,3.6e-07,2.75e-07,4.4e-07,0.8,4.3439e-12,0.0030291
7.2e-07,2.25e-07,3.6e-07,2.75e-07,4.4e-07,0.9,1.962e-13,0.0039935
7.2e-07,2.25e-07,3.6e-07,2.75e-07,4.4e-07,1.0,-1.5105e-12,0.0051862
7.2e-07,2.25e-07,4e-07,2.25e-07,3.6e-07,0.8,4.0312e-12,0.0029966
7.2e-07,2.25e-07,4e-07,2.25e-07,3.6e-07,0.9,-2.8938e-13,0.003949
7.2e-07,2.25e-07,4e-07,2.25e-07,3.6e-07,1.0,-1.971e-12,0.0051275
7.2e-07,2.25e-07,4e-07,2.25e-07,4e-07,0.8,3.8655e-12,0.0030045
7.2e-07,2.25e-07,4e-07,2.25e-07,4e-07,0.9,-3.3059e-13,0.0039588
7.2e-07,2.25e-07,4e-07,2.25e-07,4e-07,1.0,-1.8919e-12,0.0051402
7.2e-07,2.25e-07,4e-07,2.25e-07,4.4e-07,0.8,3.7241e-12,0.0030124
7.2e-07,2.25e-07,4e-07,2.25e-07,4.4e-07,0.9,-3.7826e-13,0.0039686
7.2e-07,2.25e-07,4e-07,2.25e-07,4.4e-07,1.0,-1.8244e-12,0.0051532
7.2e-07,2.25e-07,4e-07,2.5e-07,3.6e-07,0.8,4.3075e-12,0.0030064
7.2e-07,2.25e-07,4e-07,2.5e-07,3.6e-07,0.9,-3.1636e-14,0.0039632
7.2e-07,2.25e-07,4e-07,2.5e-07,3.6e-07,1.0,-1.8114e-12,0.0051462
7.2e-07,2.25e-07,4e-07,2.5e-07,4e-07,0.8,4.1437e-12,0.0030144
7.2e-07,2.25e-07,4e-07,2.5e-07,4e-07,0.9,-4.844e-14,0.0039729
7.2e-07,2.25e-07,4e-07,2.5e-07,4e-07,1.0,-1.7166e-12,0.005159
7.2e-07,2.25e-07,4e-07,2.5e-07,4.4e-07,0.8,4.0059e-12,0.0030223
7.2e-07,2.25e-07,4e-07,2.5e-07,4.4e-07,0.9,-6.8791e-14,0.0039828
7.2e-07,2.25e-07,4e-07,2.5e-07,4.4e-07,1.0,-1.639e-12,0.0051719
7.2e-07,2.25e-07,4e-07,2.75e-07,3.6e-07,0.8,4.5466e-12,0.0030162
7.2e-07,2.25e-07,4e-07,2.75e-07,3.6e-07,0.9,1.7641e-13,0.0039772
7.2e-07,2.25e-07,4e-07,2.75e-07,3.6e-07,1.0,-1.6771e-12,0.0051648
7.2e-07,2.25e-07,4e-07,2.75e-07,4e-07,0.8,4.388e-12,0.0030242
7.2e-07,2.25e-07,4e-07,2.75e-07,4e-07,0.9,1.7928e-13,0.0039871
7.2e-07,2.25e-07,4e-07,2.75e-07,4e-07,1.0,-1.5671e-12,0.0051777
7.2e-07,2.25e-07,4e-07,2.75e-07,4.4e-07,0.8,4.2547e-12,0.0030322
7.2e-07,2.25e-07,4e-07,2.75e-07,4.4e-07,0.9,1.7433e-13,0.003997
7.2e-07,2.25e-07,4e-07,2.75e-07,4.4e-07,1.0,-1.4778e-12,0.0051906
7.2e-07,2.25e-07,4.4e-07,2.25e-07,3.6e-07,0.8,3.966e-12,0.0029996
7.2e-07,2.25e-07,4.4e-07,2.25e-07,3.6e-07,0.9,-3.0709e-13,0.0039526
7.2e-07,2.25e-07,4.4e-07,2.25e-07,3.6e-07,1.0,-1.9419e-12,0.0051321
7.2e-07,2.25e-07,4.4e-07,2.25e-07,4e-07,0.8,3.7926e-12,0.0030076
7.2e-07,2.25e-07,4.4e-07,2.25e-07,4e-07,0.9,-3.5253e-13,0.0039623
7.2e-07,2.25e-07,4.4e-07,2.25e-07,4e-07,1.0,-1.8668e-12,0.0051448
7.2e-07,2.25e-07,4.4e-07,2.25e-07,4.4e-07,0.8,3.6441e-12,0.0030155
7.2e-07,2.25e-07,4.4e-07,2.25e-07,4.4e-07,0.9,-4.0296e-13,0.0039721
7.2e-07,2.25e-07,4.4e-07,2.25e-07,4.4e-07,1.0,-1.8052e-12,0.0051577
7.2e-07,2.25e-07,4.4e-07,2.5e-07,3.6e-07,0.8,4.2426e-12,0.0030094
7.2e-07,2.25e-07,4.4e-07,2.5e-07,3.6e-07,0.9,-4.1712e-14,0.0039667
7.2e-07,2.25e-07,4.4e-07,2.5e-07,3.6e-07,1.0,-1.7825e-12,0.0051507
7.2e-07,2.25e-07,4.4e-07,2.5e-07,4e-07,0.8,4.0741e-12,0.0030174
7.2e-07,2.25e-07,4.4e-07,2.5e-07,4e-07,0.9,-6.6251e-14,0.0039765
7.2e-07,2.25e-07,4.4e-07,2.5e-07,4e-07,1.0,-1.6909e-12,0.0051635
7.2e-07,2.25e-07,4.4e-07,2.5e-07,4.4e-07,0.8,3.9304e-12,0.0030254
7.2e-07,2.25e-07,4.4e-07,2.5e-07,4.4e-07,0.9,-8.9124e-14,0.0039863
7.2e-07,2.25e-07,4.4e-07,2.5e-07,4.4e-07,1.0,-1.6143e-12,0.0051763
7.2e-07,2.25e-07,4.4e-07,2.75e-07,3.6e-07,0.8,4.4821e-12,0.0030192
7.2e-07,2.25e-07,4.4e-07,2.75e-07,3.6e-07,0.9,1.6803e-13,0.0039808
