vcdl_n_width,vcdl_p_width,tc_n_width,tc_p_width,vdd,fmin,fmax,pmin,pmax
4.5e-07,7.2e-07,1.17e-06,1.805e-06,0.8,4652842604.9866,6804541418.1108,0.0017718,0.0028722
4.5e-07,7.2e-07,1.17e-06,1.805e-06,0.9,4238703353.836,7779796364.2392,0.0023823,0.0041231
4.5e-07,7.2e-07,1.17e-06,1.805e-06,1.0,3994781924.3262,8775053150.0447,0.0034019,0.0054812
4.5e-07,7.2e-07,1.17e-06,1.9e-06,0.8,4619172696.6766,6749417023.0869,0.0018238,0.0028811
4.5e-07,7.2e-07,1.17e-06,1.9e-06,0.9,4215089820.5524,7723105236.7187,0.0024093,0.0041559
4.5e-07,7.2e-07,1.17e-06,1.9e-06,1.0,3976993938.6026,8480054142.8736,0.0033988,0.0055877
4.5e-07,7.2e-07,1.17e-06,1.995e-06,0.8,4527186023.458,6869528321.5993,0.0018467,0.0028927
4.5e-07,7.2e-07,1.17e-06,1.995e-06,0.9,4142406730.6232,7689427834.3493,0.0024447,0.0041766
4.5e-07,7.2e-07,1.17e-06,1.995e-06,1.0,3915023376.6788,8477668042.5591,0.0033981,0.0056842
4.5e-07,7.2e-07,1.17e-06,2.09e-06,0.8,4519202899.8063,6649276587.6114,0.0018575,0.0029076
4.5e-07,7.2e-07,1.17e-06,2.09e-06,0.9,4139616526.3398,7910388081.2273,0.002485,0.0041992
4.5e-07,7.2e-07,1.17e-06,2.09e-06,1.0,3915381893.9247,8487256035.9794,0.0034063,0.0057553
4.5e-07,7.2e-07,1.235e-06,1.71e-06,0.8,4334979368.3795,7156550975.5848,0.0017243,0.002809
4.5e-07,7.2e-07,1.235e-06,1.71e-06,0.9,3972288463.2451,8222108940.039,0.0023681,0.0040481
4.5e-07,7.2e-07,1.235e-06,1.71e-06,1.0,3758291986.4485,9502306142.1887,0.0034169,0.0051754
4.5e-07,7.2e-07,1.235e-06,1.805e-06,0.8,4549962149.2819,6969356538.6787,0.0017504,0.0028469
4.5e-07,7.2e-07,1.235e-06,1.805e-06,0.9,4154685857.5073,8042487431.3297,0.0023897,0.0040954
4.5e-07,7.2e-07,1.235e-06,1.805e-06,1.0,3924075633.6951,9350480567.7737,0.00341,0.0053653
4.5e-07,7.2e-07,1.235e-06,1.9e-06,0.8,4530025464.527,6959561298.4896,0.0017861,0.0028838
4.5e-07,7.2e-07,1.235e-06,1.9e-06,0.9,4140697217.5242,7930474708.13,0.0024218,0.0041382
4.5e-07,7.2e-07,1.235e-06,1.9e-06,1.0,3913983011.7336,8827298189.3306,0.0033931,0.0055164
4.5e-07,7.2e-07,1.235e-06,1.995e-06,0.8,4542956897.4852,6877073291.8668,0.0018337,0.0028992
4.5e-07,7.2e-07,1.235e-06,1.995e-06,0.9,4153712283.4612,7892872415.4404,0.0024654,0.0041784
4.5e-07,7.2e-07,1.235e-06,1.995e-06,1.0,3927720395.8236,8687488525.4493,0.0033798,0.0056437
4.5e-07,7.2e-07,1.235e-06,2.09e-06,0.8,4495387033.8126,6674927981.6121,0.0018965,0.0029073
4.5e-07,7.2e-07,1.235e-06,2.09e-06,0.9,4116147616.0036,7647841002.1886,0.0025181,0.0042089
4.5e-07,7.2e-07,1.235e-06,2.09e-06,1.0,3895960013.5024,8440886144.9569,0.0033755,0.0057514
4.5e-07,7.2e-07,1.3e-06,1.71e-06,0.8,4258211916.2024,7623663306.707,0.0017586,0.0027818
4.5e-07,7.2e-07,1.3e-06,1.71e-06,0.9,3911298004.1211,8562780650.5256,0.0023876,0.0039436
4.5e-07,7.2e-07,1.3e-06,1.805e-06,0.8,4548511142.3273,8893235767.2724,0.001771,0.0028157
4.5e-07,7.2e-07,1.3e-06,1.805e-06,0.9,4157201553.7093,8370326940.7316,0.002395,0.0040551
4.5e-07,7.2e-07,1.3e-06,1.9e-06,0.8,4501141776.1102,7658230374.9523,0.0017871,0.0028463
4.5e-07,7.2e-07,1.3e-06,1.9e-06,0.9,4119491085.3249,8186911732.0994,0.0024163,0.0041101
4.5e-07,7.2e-07,1.3e-06,1.995e-06,0.8,4478046523.0548,9513473585.0775,0.0018131,0.0028834
4.5e-07,7.2e-07,1.3e-06,1.995e-06,0.9,4102135498.3079,8026768706.7813,0.0024552,0.0041521
4.5e-07,7.2e-07,1.3e-06,2.09e-06,0.8,4457633785.4173,7154781207.0539,0.0018512,0.002914
4.5e-07,7.2e-07,1.3e-06,2.09e-06,0.9,4086978741.3251,7799431927.2163,0.0025135,0.0041943
4.5e-07,7.2e-07,1.3e-06,2.09e-06,1.0,3878365293.0538,8905558143.7314,0.0034171,0.0056868
4.5e-07,7.2e-07,1.365e-06,1.71e-06,0.8,4309922614.3959,8406853014.1179,0.0017934,0.0027263
4.5e-07,7.2e-07,1.365e-06,1.805e-06,0.8,4569728385.1804,8103617479.5321,0.001814,0.002781
4.5e-07,7.2e-07,1.365e-06,1.9e-06,0.8,4556003878.2931,7548026955.9338,0.0018257,0.0028231
4.5e-07,7.2e-07,1.365e-06,1.995e-06,0.8,4485818310.4406,7132328666.7326,0.0018363,0.0028495
4.5e-07,7.2e-07,1.365e-06,1.995e-06,0.9,4114648742.502,8155645356.4449,0.0024476,0.0041244
4.5e-07,7.2e-07,1.365e-06,2.09e-06,0.8,4442258073.3556,7024542565.5667,0.0018503,0.0028801
4.5e-07,7.2e-07,1.365e-06,2.09e-06,0.9,4080059513.4414,8012148273.7752,0.0024841,0.0041659
4.5e-07,7.2e-07,1.43e-06,1.71e-06,0.8,4278858616.4952,8765076945.2584,0.0017864,0.0026748
4.5e-07,7.2e-07,1.43e-06,1.805e-06,0.8,4563975715.4835,8509057069.4906,0.0018309,0.0027271
4.5e-07,7.2e-07,1.43e-06,1.9e-06,0.8,4523502193.0725,8280758616.8451,0.0018612,0.0027771
4.5e-07,7.2e-07,1.43e-06,1.995e-06,0.8,4510586252.9432,8111348846.4975,0.0018834,0.0028243
4.5e-07,7.2e-07,1.43e-06,2.09e-06,0.8,4497917129.1536,7961882345.0627,0.0018908,0.0028549
4.5e-07,7.6e-07,1.17e-06,1.71e-06,0.8,4880921893.5769,6937613539.1311,0.0017456,0.0028571
4.5e-07,7.6e-07,1.17e-06,1.71e-06,0.9,4414571386.0292,7975034224.4461,0.002387,0.0040972
