nf_cap,nf_load,res,nf_dif,delay,delay0
17.0,21.0,4000.0,17.0,3.13014e-10,1.58708e-10
18.0,17.0,2200.0,21.0,3.48322e-10,1.75755e-10
20.0,17.0,3600.0,12.0,4.10792e-10,1.93245e-10
19.0,20.0,4000.0,21.0,3.83735e-10,1.91133e-10
18.0,21.0,3500.0,12.0,3.40605e-10,1.65337e-10
18.0,16.0,2100.0,19.0,3.4568e-10,1.72642e-10
15.0,20.0,2200.0,13.0,2.48136e-10,1.27764e-10
15.0,17.0,2100.0,11.0,2.45538e-10,1.24442e-10
21.0,15.0,3400.0,17.0,4.52612e-10,2.14816e-10
14.0,19.0,3300.0,21.0,2.30822e-10,1.27453e-10
15.0,14.0,2700.0,15.0,2.4914e-10,1.29065e-10
17.0,18.0,3400.0,14.0,3.08648e-10,1.5338e-10
11.0,16.0,3800.0,18.0,1.56032e-10,9.24359e-11
14.0,12.0,4000.0,11.0,2.17525e-10,1.12195e-10
19.0,16.0,2800.0,21.0,3.82636e-10,1.89898e-10
11.0,15.0,3000.0,19.0,1.57302e-10,9.37503e-11
12.0,15.0,2800.0,18.0,1.77174e-10,1.01318e-10
15.0,17.0,3100.0,19.0,2.54773e-10,1.35503e-10
13.0,21.0,3300.0,16.0,1.99678e-10,1.10344e-10
19.0,20.0,3900.0,19.0,3.81513e-10,1.88398e-10
21.0,14.0,4000.0,13.0,4.4935e-10,2.09583e-10
21.0,21.0,3700.0,18.0,4.54461e-10,2.17238e-10
20.0,16.0,2600.0,11.0,4.09994e-10,1.91757e-10
15.0,14.0,2500.0,18.0,2.52295e-10,1.32784e-10
15.0,12.0,3900.0,16.0,2.50023e-10,1.30033e-10
14.0,13.0,3000.0,11.0,2.17621e-10,1.1235e-10
20.0,18.0,3500.0,14.0,4.12189e-10,1.95747e-10
16.0,11.0,2400.0,17.0,2.79882e-10,1.43235e-10
15.0,20.0,3600.0,19.0,2.55477e-10,1.36296e-10
17.0,20.0,3700.0,16.0,3.11206e-10,1.56616e-10
15.0,19.0,2500.0,16.0,2.51039e-10,1.31354e-10
15.0,12.0,3200.0,16.0,2.49825e-10,1.29857e-10
17.0,13.0,3400.0,12.0,3.05819e-10,1.49622e-10
