Wpmos_in,L_Radius,Cin_OD,Wnmos_follower,center_freq,Output Impedance (Rout),Power(mW),Gain,spectrum_sfdr,spectrum_snr,spectrum_enob
30,15e-6,10e-15,15,28e9,53.86,13.83,1.433,59.56,62.25,10.05
30,15e-6,10e-15,10,28.8e9,60.59,13.87,539.3e-3,54.45,58.03,9.346
30,15e-6,10e-15,12,28.4e9,56.96,13.86,960.6e-3,54.81,58.36,9.401
30,15e-6,10e-15,14,28e9,54.64,13.84,1.29,56.88,60.17,9.701
30,15e-6,10e-15,16,27.6e9,53.17,13.82,1.562,60.83,62.88,10.15
30,15e-6,10e-15,18,27.2e9,52.23,13.79,1.794,54.39,57.54,9.265
30,15e-6,10e-15,20,26.8e9,51.63,13.77,1.995,53.06,56.33,9.063
30,15e-6,10e-15,15,28e9,53.86,13.83,1.433,59.56,62.25,10.05
30,15e-6,10e-15,10,28.8e9,60.59,13.87,539.3e-3,54.45,58.03,9.346
30,15e-6,10e-15,12,28.4e9,56.96,13.86,960.6e-3,54.81,58.36,9.401
30,15e-6,10e-15,14,28e9,54.64,13.84,1.29,56.88,60.17,9.701
30,15e-6,10e-15,16,27.6e9,53.17,13.82,1.562,60.83,62.88,10.15
30,15e-6,10e-15,18,27.2e9,52.23,13.79,1.794,54.39,57.54,9.265
30,15e-6,10e-15,20,26.8e9,51.63,13.77,1.995,53.06,56.33,9.063
30,15e-6,40e-15,15,26e9,56.73,13.98,1.049,52.86,56.45,9.083
30,15e-6,40e-15,10,27.2e9,62.84,14.02,-465.8e-3,53.26,56.99,9.174
30,15e-6,40e-15,12,26.8e9,59.55,14.01,250.6e-3,52.39,56.08,9.023
30,15e-6,40e-15,14,26.4e9,57.43,13.99,808.3e-3,52.36,55.99,9.007
30,15e-6,40e-15,16,26e9,56.05,13.98,1.259,53.69,57.22,9.211
30,15e-6,40e-15,18,25.6e9,55.11,13.96,1.634,55.93,59.29,9.555
30,15e-6,40e-15,20,25.2e9,54.45,13.95,1.952,56.75,60.07,9.684
30,15e-6,70e-15,15,24.8e9,58.39,14.05,284.4e-3,54.94,57.57,9.27
30,15e-6,70e-15,10,26e9,64.19,14.07,-1.713,57.46,59.73,9.629
30,15e-6,70e-15,12,25.6e9,61.07,14.06,-778.6e-3,57.63,59.57,9.601
30,15e-6,70e-15,14,25.2e9,59.04,14.05,-37.81e-3,55.95,58.34,9.398
30,15e-6,70e-15,16,24.8e9,57.69,14.04,567.7e-3,54.12,56.91,9.16
30,15e-6,70e-15,18,24.4e9,56.73,14.04,1.074,52.98,56.03,9.014
30,15e-6,70e-15,20,24e9,56.02,14.03,1.505,56.41,59.02,9.51
30,15e-6,100e-15,15,24e9,59.36,14.08,-623.2e-3,55.31,56.85,9.151
30,15e-6,100e-15,10,25.2e9,65.01,14.09,-2.966,57.23,59.03,9.511
30,15e-6,100e-15,12,24.8e9,61.98,14.09,-1.881,64.16,61.85,9.981
30,15e-6,100e-15,14,24.4e9,60,14.08,-1.008,57.63,58.42,9.41
30,15e-6,100e-15,16,24e9,58.64,14.08,-285.4e-3,53.76,55.72,8.962
30,15e-6,100e-15,18,23.6e9,57.66,14.07,324.8e-3,51.97,54.47,8.755
30,15e-6,100e-15,20,23.2e9,56.91,14.07,848.4e-3,54.2,56.36,9.069
30,10e-6,10e-15,15,35.6e9,41.95,14.15,-333.2e-3,53.87,57.53,9.262
30,10e-6,10e-15,10,37.6e9,51.18,14.12,-1.352,53.87,57.41,9.243
30,10e-6,10e-15,12,36.8e9,46.27,14.14,-864e-3,53.88,57.48,9.255
30,10e-6,10e-15,14,36e9,43.07,14.15,-492.6e-3,53.88,57.52,9.261
30,10e-6,10e-15,16,35.2e9,41.05,14.15,-194.1e-3,53.87,57.54,9.264
30,10e-6,10e-15,18,34.4e9,39.83,14.15,54.21e-3,53.86,57.55,9.266
30,10e-6,10e-15,20,33.6e9,39.17,14.15,265.2e-3,53.85,57.56,9.268
30,10e-6,10e-15,15,35.6e9,41.95,14.15,-333.2e-3,53.87,57.53,9.262
30,10e-6,10e-15,10,37.6e9,51.18,14.12,-1.352,53.87,57.41,9.243
30,10e-6,10e-15,12,36.8e9,46.27,14.14,-864e-3,53.88,57.48,9.255
30,10e-6,10e-15,14,36e9,43.07,14.15,-492.6e-3,53.88,57.52,9.261
