fin_main_sw,cap_load,frf,fin_battery_cap,Rout_LNA,Current Consumption,Output PP Amplitude,Tracking Bandwidth (GHz),ENOB,SNR,SFDR
2,8E-15,3.64E+10,90,58,1.08E-04,6.61E-01,7.458,8.102,50.54,50.65
2,8E-15,3.64E+10,80,58,1.08E-04,6.68E-01,7.53,8.008,49.97,50.08
2,8E-15,3.64E+10,80,58,1.08E-04,6.68E-01,7.53,8.008,49.97,50.08
2,8E-15,3.64E+10,70,58,1.08E-04,6.76E-01,7.6,7.911,49.39,49.5
2,8E-15,3.24E+10,90,58,1.08E-04,7.08E-01,7.458,8.779,54.62,54.73
2,8E-15,3.64E+10,90,45,1.08E-04,7.09E-01,7.644,8.121,50.66,50.77
2,8E-15,3.64E+10,80,45,1.08E-04,7.15E-01,7.702,8.012,50,50.11
2,8E-15,3.64E+10,80,45,1.08E-04,7.15E-01,7.702,8.012,50,50.11
2,8E-15,3.24E+10,80,58,1.08E-04,7.16E-01,7.53,8.861,55.11,55.23
2,8E-15,3.24E+10,80,58,1.08E-04,7.16E-01,7.53,8.861,55.11,55.23
2,8E-15,3.64E+10,70,45,1.08E-04,7.22E-01,7.759,7.903,49.34,49.45
2,8E-15,3.24E+10,70,58,1.08E-04,7.26E-01,7.6,8.991,55.89,56.02
2,8E-15,3.64E+10,90,38,1.08E-04,7.36E-01,7.746,8.085,50.44,50.55
2,6E-15,3.64E+10,90,58,1.08E-04,7.38E-01,9.375,8.474,52.78,52.91
2,6E-15,3.64E+10,90,58,1.08E-04,7.38E-01,9.375,8.474,52.78,52.91
2,8E-15,3.64E+10,80,38,1.08E-04,7.41E-01,7.796,7.969,49.74,49.85
2,8E-15,3.64E+10,80,38,1.08E-04,7.41E-01,7.796,7.969,49.74,49.85
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,6E-15,3.64E+10,80,58,1.08E-04,7.46E-01,9.499,8.301,51.74,51.86
2,8E-15,3.64E+10,70,38,1.08E-04,7.47E-01,7.845,7.849,49.02,49.13
2,8E-15,3.24E+10,90,45,1.08E-04,7.54E-01,7.644,8.805,54.77,54.89
2,6E-15,3.64E+10,70,58,1.08E-04,7.57E-01,9.623,8.14,50.77,50.89
2,6E-15,3.64E+10,70,58,1.08E-04,7.57E-01,9.623,8.14,50.77,50.89
2,8E-15,3.24E+10,80,45,1.08E-04,7.61E-01,7.702,8.899,55.34,55.46
2,8E-15,3.24E+10,80,45,1.08E-04,7.61E-01,7.702,8.899,55.34,55.46
2,8E-15,2.84E+10,90,58,1.08E-04,7.61E-01,7.458,8.485,52.84,52.95
2,8E-15,3.24E+10,70,45,1.08E-04,7.67E-01,7.759,9.044,56.21,56.33
2,8E-15,2.84E+10,80,58,1.08E-04,7.70E-01,7.53,8.395,52.3,52.41
2,8E-15,2.84E+10,80,58,1.08E-04,7.70E-01,7.53,8.395,52.3,52.41
2,8E-15,2.84E+10,70,58,1.08E-04,7.80E-01,7.6,8.318,51.84,51.95
4,8E-15,3.64E+10,90,58,1.09E-04,7.80E-01,12.06,9.585,59.47,59.73
4,8E-15,3.64E+10,90,58,1.09E-04,7.80E-01,12.06,9.585,59.47,59.73
2,8E-15,3.24E+10,90,38,1.08E-04,7.81E-01,7.746,8.715,54.23,54.34
2,6E-15,3.24E+10,90,58,1.08E-04,7.82E-01,9.375,8.793,54.7,54.82
2,6E-15,3.24E+10,90,58,1.08E-04,7.82E-01,9.375,8.793,54.7,54.82
2,8E-15,3.24E+10,80,38,1.08E-04,7.86E-01,7.796,8.786,54.66,54.77
2,8E-15,3.24E+10,80,38,1.08E-04,7.86E-01,7.796,8.786,54.66,54.77
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
4,8E-15,3.64E+10,80,58,1.10E-04,7.89E-01,12.26,9.278,57.62,57.83
2,6E-15,3.64E+10,90,45,1.08E-04,7.90E-01,9.682,8.304,51.76,51.87
2,6E-15,3.64E+10,90,45,1.08E-04,7.90E-01,9.682,8.304,51.76,51.87
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,6E-15,3.24E+10,80,58,1.08E-04,7.91E-01,9.499,8.695,54.11,54.23
2,8E-15,3.24E+10,70,38,1.08E-04,7.92E-01,7.845,8.901,55.35,55.47
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,6E-15,3.64E+10,80,45,1.08E-04,7.97E-01,9.786,8.137,50.75,50.87
2,8E-15,2.56E+10,90,58,1.07E-04,7.99E-01,7.458,7.662,47.89,48
4,8E-15,3.64E+10,70,58,1.10E-04,8.00E-01,12.48,8.995,55.92,56.09
4,8E-15,3.64E+10,70,58,1.10E-04,8.00E-01,12.48,8.995,55.92,56.09
2,6E-15,3.24E+10,70,58,1.08E-04,8.02E-01,9.623,8.602,53.55,53.67
2,6E-15,3.24E+10,70,58,1.08E-04,8.02E-01,9.623,8.602,53.55,53.67
2,8E-15,2.84E+10,90,45,1.08E-04,8.06E-01,7.644,8.262,51.5,51.61
2,6E-15,3.64E+10,70,45,1.08E-04,8.06E-01,9.889,7.981,49.81,49.93
2,6E-15,3.64E+10,70,45,1.08E-04,8.06E-01,9.889,7.981,49.81,49.93
2,8E-15,2.56E+10,80,58,1.08E-04,8.11E-01,7.53,7.73,48.3,48.41
2,8E-15,2.56E+10,80,58,1.08E-04,8.11E-01,7.53,7.73,48.3,48.41
2,8E-15,2.84E+10,80,45,1.08E-04,8.13E-01,7.702,8.19,51.07,51.18
2,8E-15,2.84E+10,80,45,1.08E-04,8.13E-01,7.702,8.19,51.07,51.18
6,8E-15,3.64E+10,90,58,1.11E-04,8.16E-01,15.07,8.412,52.41,52.56
2,6E-15,3.64E+10,90,38,1.08E-04,8.19E-01,9.853,8.231,51.32,51.43
2,6E-15,3.64E+10,90,38,1.08E-04,8.19E-01,9.853,8.231,51.32,51.43
2,4E-15,3.64E+10,90,58,1.08E-04,8.20E-01,12.74,8.807,54.79,54.95
2,8E-15,2.84E+10,70,45,1.08E-04,8.22E-01,7.759,8.128,50.69,50.8
4,8E-15,3.24E+10,90,58,1.09E-04,8.24E-01,12.06,8.335,51.94,52.06
4,8E-15,3.24E+10,90,58,1.09E-04,8.24E-01,12.06,8.335,51.94,52.06
2,8E-15,2.56E+10,70,58,1.08E-04,8.24E-01,7.6,7.828,48.89,49.01
6,8E-15,3.64E+10,80,58,1.11E-04,8.24E-01,15.36,8.532,53.13,53.29
6,8E-15,3.64E+10,80,58,1.11E-04,8.24E-01,15.36,8.532,53.13,53.29
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
4,6E-15,3.64E+10,90,58,1.09E-04,8.26E-01,14.53,8.529,53.11,53.27
2,6E-15,3.64E+10,80,38,1.08E-04,8.26E-01,9.944,8.065,50.32,50.43
