fbias,lbias,fin,fp,lin,lp,vcmo,mamp,cload,cin,cout,gain,gm,pole1,rout,zero,cmo,pwr,swingn,swingp
36,0.00000014,35,30,0.00000024,0.00000007,0.44,72,1.00E-012,8.44E-014,3.25E-014,30.2429,0.00128379,180098000,25330.9,8664440000,0.436192,-0.000477279,0.350667,0.492852
76,0.0000006,110,130,0.00000034,0.00000023,0.52,25,1.00E-012,3.9E-013,9.57E-014,47.0179,0.0027248,19704900,82330.1,7072140000,0.509979,-0.00070975,0.424344,0.399633
15,0.0000005,105,125,0.00000036,0.0000003,0.58,80,1.00E-012,4.18E-013,7.16E-014,48.6992,0.00244546,19284100,111326,7357230000,0.575428,-0.000592595,0.489776,0.326935
17,0.0000002,120,145,0.00000039,0.0000001,0.56,51,1.00E-012,4.14E-013,7.8E-014,39.3627,0.00256064,53449800,36290.1,4384830000,0.55636,-0.000657038,0.470693,0.379045
85,0.00000014,145,155,0.00000036,0.00000057,0.52,47,1.00E-012,7.93E-013,1.1E-013,39.8142,0.0033706,41095500,29040.3,8154010000,0.515122,-0.00119166,0.429474,0.3532
12,0.00000032,55,190,0.00000033,0.00000033,0.52,62,1.00E-012,1.76E-013,8.47E-014,47.6751,0.00140999,10543000,171610,9486580000,0.516327,-0.00035545,0.430699,0.409646
61,0.0000009,110,95,0.00000053,0.00000023,0.48,85,1.00E-012,5.26E-013,7.53E-014,47.4757,0.00170752,14796100,138490,2159680000,0.468749,-0.000437424,0.383027,0.445461
13,0.0000004,75,55,0.00000024,0.00000011,0.44,53,1.00E-012,1.91E-013,3.82E-014,41.7114,0.00270897,89169800,44953.5,9745540000,0.436285,-0.000662315,0.35076,0.474108
60,0.00000044,25,155,0.00000016,0.00000024,0.5,33,1.00E-012,4.18E-014,8.51E-014,43.5201,0.00143403,17299700,104579,35643000000,0.492993,-0.000421098,0.407583,0.435142
35,0.00000058,180,115,0.00000029,0.00000038,0.54,42,1.00E-012,7.47E-013,8.47E-014,49.5213,0.00526558,30963700,56835.7,11404100000,0.533061,-0.00127287,0.447462,0.316934
54,0.00000068,185,175,0.00000058,0.00000059,0.42,99,1.00E-012,1.21E-012,1.09E-013,50.1524,0.00260815,11032500,123392,2878250000,0.410898,-0.000653083,0.325162,0.474142
47,0.00000012,70,165,0.00000025,0.0000004,0.48,5,1.00E-012,2.31E-013,8.78E-014,38.1266,0.00241793,45991500,33333.8,15706900000,0.476097,-0.000846255,0.390549,0.425296
21,0.00000008,90,150,0.00000043,0.00000013,0.52,60,1.00E-012,3.41E-013,7.62E-014,30.0552,0.00174248,100396000,18263.9,4216320000,0.516736,-0.000647282,0.431051,0.41989
26,0.0000005,110,140,0.00000047,0.00000043,0.46,67,1.00E-012,5.57E-013,7.92E-014,49.3294,0.00193432,12707900,151335,4350790000,0.45493,-0.000483158,0.369229,0.44616
59,0.00000036,125,150,0.0000002,0.00000036,0.54,52,1.00E-012,4.47E-013,9.88E-014,47.5331,0.00551305,34764900,43178,23957000000,0.533411,-0.00140033,0.44791,0.332349
91,0.00000084,95,195,0.00000046,0.00000032,0.44,54,1.00E-012,4.19E-013,1.18E-013,47.5496,0.00171277,9356680,139246,4340200000,0.425219,-0.000460309,0.339522,0.497869
47,0.00000012,160,180,0.00000049,0.00000026,0.54,51,1.00E-012,7.28E-013,1.09E-013,38.719,0.00269466,42146000,32021.9,3401490000,0.536074,-0.000905113,0.450364,0.379389
75,0.00000018,140,20,0.00000014,0.00000028,0.54,41,1.00E-012,3.18E-013,5.7E-014,40.2589,0.00785095,195724000,13122.7,45662600000,0.533994,-0.00237892,0.448572,0.0961883
55,0.00000042,75,105,0.0000001,0.00000016,0.54,42,1.00E-012,1.44E-013,7.41E-014,40.6506,0.00760667,143204000,14168.9,82619400000,0.532224,-0.00195906,0.446734,0.343869
92,0.00000066,105,115,0.00000037,0.0000005,0.46,95,1.00E-012,5.32E-013,9.42E-014,48.664,0.00237194,13825500,114313,7159510000,0.447655,-0.000632547,0.362004,0.430267
9,0.00000034,120,120,0.0000001,0.00000011,0.6,54,1.00E-012,1.89E-013,6.77E-014,38.5347,0.0121259,314397000,6966.55,82314200000,0.590575,-0.00306168,0.504893,0.292495
74,0.00000024,75,175,0.00000055,0.00000039,0.5,62,1.00E-012,3.7E-013,1.04E-013,41.0086,0.00112151,14140900,100145,3300170000,0.494264,-0.000444573,0.408535,0.431158
61,0.00000022,140,120,0.00000053,0.00000017,0.6,90,1.00E-012,6.41E-013,9.03E-014,42.2726,0.00216672,28317900,59955.2,2256120000,0.594781,-0.00067343,0.509057,0.328028
