lbias,lbp,lbn,lin1,lin2,ltn,ltp,vcmo,mamp,fbias,fbp,fbn,fin1,fin2,ftn1,ftn2,ftp1,ftp2,cload,cin,cout,gain,gm,pole1,pole2,rout,cmo,pwr,swing14,swing7,swingn,swingn1,swingn4,swingp,irn
0.00000025,0.00000021,0.00000014,0.00000052,0.00000013,0.00000058,0.00000019,0.46,67,2,5,3,4,7,10,10,2,9,1.00E-012,2.32E-012,1.33E-013,61.942,0.00252579,288477,755908000,495112,0.456635,-0.000769009,0.537424,0.0205743,0.0148412,0.323483,0.0392301,0.352746,1.12E-009
0.00000056,0.00000033,0.00000015,0.00000056,0.0000005,0.00000018,0.00000034,0.44,7,7,3,6,10,9,3,5,10,7,1.00E-012,5.24E-013,3.93E-014,39.5209,0.00020625,334034,732288000,458828,0.436231,-0.000129451,0.490853,-0.0624032,-0.0575255,0.36115,-0.0300855,0.442647,1.07E-009
0.00000047,0.00000006,0.00000011,0.0000001,0.00000025,0.00000055,0.00000037,0.54,74,7,4,9,4,8,10,9,5,10,1.00E-012,2.4E-012,1.8E-013,67.165,0.00552146,325456,298559000,413232,0.536104,-0.00120899,0.502086,0.13552,0.0899848,0.331944,-0.00380265,0.186625,3.19E-008
0.00000045,0.00000039,0.00000015,0.00000012,0.00000011,0.00000019,0.00000024,0.48,29,7,7,3,9,5,9,9,10,2,1.00E-012,4.75E-013,7.79E-014,52.4243,0.00202531,720156,1103640000,206407,0.476248,-0.000971294,0.494926,-0.0425226,0.0145239,0.323213,-0.00227414,0.361468,1.09E-009
0.00000025,0.00000013,0.00000057,0.00000011,0.00000055,0.00000039,0.0000001,0.54,35,10,8,2,4,3,6,5,7,6,1.00E-012,5.45E-013,1.73E-013,35.3323,0.000932091,2198730,1260750000,62683.7,0.536571,-0.000647199,0.869401,0.36707,0.396753,-0.0848934,-0.10366,-0.0311846,1.19E-009
0.0000003,0.00000054,0.00000011,0.00000053,0.00000031,0.00000021,0.00000016,0.44,51,2,9,9,5,2,2,5,6,7,1.00E-012,2.25E-012,3.43E-013,39.7374,0.000971102,1183780,797710000,99908.9,0.436884,-0.000614284,0.490258,-0.0564013,-0.0627955,0.356243,-0.0617993,0.45987,6.2E-010
0.0000005,0.00000015,0.00000037,0.00000008,0.00000056,0.00000051,0.00000017,0.52,12,10,2,2,9,7,5,5,10,2,1.00E-012,3.07E-013,1.41E-014,55.9819,0.000547283,137521,873582000,1150500,0.51616,-0.00024178,0.628736,0.147034,0.203118,0.11299,-0.0614129,0.16899,1.24E-009
0.00000027,0.00000043,0.00000053,0.00000031,0.00000045,0.00000017,0.00000039,0.48,30,8,4,7,9,9,7,9,9,2,1.00E-012,1.31E-012,8.6E-014,49.6607,0.00109159,529972,574356000,278596,0.476474,-0.000643517,0.513686,-0.0598241,0.0120373,0.327884,-0.024112,0.358965,4.94E-010
0.00000039,0.0000005,0.00000053,0.00000017,0.0000002,0.00000049,0.00000036,0.54,13,3,4,6,5,8,2,6,2,7,1.00E-012,3.55E-013,2.33E-014,-60.6068,2.28E-009,378446,34129000,408585,0.536693,-0.0000895,0.74687,0.915121,0.340038,0.0676193,-0.0784254,-0.573318,0.000243555
0.00000029,0.0000005,0.00000038,0.00000022,0.00000047,0.00000018,0.00000056,0.54,37,8,6,7,8,2,4,8,7,8,1.00E-012,1.16E-012,9.87E-014,57.2045,0.00140542,285587,551494000,515726,0.536388,-0.000511085,0.487156,-0.0303434,0.0584209,0.353814,-0.0563571,0.31269,7.75E-010
0.00000042,0.00000021,0.00000051,0.00000031,0.00000034,0.00000053,0.00000054,0.42,61,9,10,2,7,3,6,8,2,6,1.00E-012,3.31E-012,1.82E-013,-39.5142,7.17E-008,914177,172002000,147425,0.416147,-0.000438095,0.815642,0.825959,0.279146,0.0310395,-0.0334183,-0.394242,0.0000358
0.00000042,0.00000024,0.00000049,0.00000007,0.0000001,0.00000057,0.00000042,0.54,8,8,3,7,10,4,4,3,4,6,1.00E-012,9.58E-014,1.54E-014,-43.568,2.52E-008,599431,976697000,263538,0.536369,-0.000100942,0.699912,0.806027,0.357654,0.0559198,0.00688357,-0.470395,0.000118807
0.00000053,0.00000014,0.0000005,0.00000033,0.00000025,0.00000007,0.00000017,0.5,6,10,8,9,2,6,5,6,5,7,1.00E-012,1.01E-013,2.46E-014,54.1519,0.000464005,141781,1946210000,1099190,0.496099,-0.000266984,0.743429,0.142041,0.218101,0.123304,-0.0329558,0.157852,2.52E-009
0.0000002,0.00000039,0.00000053,0.00000024,0.00000028,0.00000025,0.00000006,0.5,22,6,4,4,3,10,5,9,4,8,1.00E-012,5.37E-013,4.05E-014,54.8015,0.00169381,474947,974358000,324498,0.496729,-0.000890802,0.625045,0.00649707,0.0761597,0.212789,-0.0544065,0.280268,5.67E-010
0.00000052,0.00000053,0.00000052,0.0000003,0.00000014,0.00000039,0.00000032,0.44,98,6,8,3,10,4,4,9,7,8,1.00E-012,1.01E-010,2.48E-013,77.0361,0.00718503,130171,130608000,989411,0.436057,-0.0016546,0.597285,0.147582,0.071571,0.240363,-0.0225568,0.276486,7.96E-010
0.0000004,0.0000003,0.00000045,0.00000012,0.00000047,0.00000059,0.00000053,0.44,67,4,3,4,2,4,8,2,2,10,1.00E-012,7.89E-013,1.13E-013,54.8449,0.00184588,479601,510358000,299255,0.43622,-0.000467911,0.536299,0.0383611,0.00469429,0.309808,0.012813,0.364535,1.5E-009
0.00000035,0.00000029,0.0000005,0.00000049,0.00000012,0.00000016,0.00000037,0.56,61,6,6,5,2,6,2,7,7,3,1.00E-012,9.05E-013,1.43E-013,71.4703,0.00428633,161796,533903000,873840,0.5564,-0.00111458,0.622914,0.086505,0.193532,0.236477,0.00480528,0.182468,6.4E-010
0.00000033,0.00000044,0.00000028,0.0000006,0.00000019,0.00000048,0.00000018,0.46,3,6,10,3,3,4,7,2,8,9,1.00E-012,6.52E-014,1.15E-014,39.2901,0.0000745,129165,510036000,1237600,0.456591,-0.0000789,0.656089,0.0916515,0.0963375,0.18304,-0.00445859,0.281694,0.000000003
0.00000043,0.00000046,0.00000006,0.00000018,0.00000009,0.00000041,0.00000028,0.52,88,9,5,7,9,3,2,3,8,10,1.00E-012,1.23E-011,1.9E-013,-8.67565,0.00000171,600368,23801100,215275,0.516293,-0.00115218,0.714432,0.841349,0.289431,0.0908069,-0.0348272,-0.473427,0.00000815
0.00000015,0.00000019,0.00000005,0.00000042,0.00000015,0.00000045,0.00000026,0.52,59,3,5,6,7,5,4,8,9,10,1.00E-012,3.04E-011,2.55E-013,49.5201,0.0025933,1100460,925912000,115386,0.51675,-0.00100795,0.415822,-0.0156163,-0.0311819,0.426016,-0.0191176,0.35763,0.000000002
0.00000054,0.00000036,0.00000011,0.00000044,0.00000023,0.00000016,0.00000026,0.42,44,5,3,10,4,9,5,3,2,8,1.00E-012,1.34E-012,2.55E-013,39.904,0.000986002,1281290,1029290000,100305,0.41604,-0.000443306,0.510975,-0.0669542,-0.0607991,0.357374,0.0464584,0.437239,8.29E-010
0.00000025,0.0000003,0.00000044,0.00000008,0.0000003,0.00000009,0.00000033,0.42,20,2,3,7,4,8,9,10,3,5,1.00E-012,2.89E-012,3.27E-014,1.40693,0.0000039,505972,2708680000,301353,0.416632,-0.000525603,0.868469,0.628286,0.348988,-0.0285176,-0.0250427,-0.224593,0.000000288
0.00000038,0.00000049,0.00000028,0.00000038,0.00000036,0.00000054,0.00000041,0.52,97,3,7,2,4,7,6,8,3,5,1.00E-012,5.1E-012,2.08E-013,72.383,0.00327704,104954,307119000,1269600,0.51624,-0.000808076,0.591399,0.0818919,0.132222,0.26314,0.000103158,0.236923,5.84E-010
0.00000027,0.00000023,0.0000002,0.00000024,0.00000005,0.00000013,0.00000051,0.6,51,7,9,3,9,7,3,2,4,7,1.00E-012,3.4E-012,1.48E-013,63.3092,0.00282943,272795,526790000,517321,0.596447,-0.000695953,0.601447,0.118663,0.237183,0.245119,0.13442,0.119525,0.000000002
0.00000016,0.00000039,0.00000006,0.00000018,0.00000038,0.0000006,0.00000024,0.54,46,4,8,9,6,8,8,8,3,2,1.00E-012,1.19E-012,2.46E-013,48.793,0.00164937,764032,695154000,166853,0.536751,-0.000541442,0.383303,-0.0199378,-0.0216378,0.446367,-0.00640864,0.326312,1.3E-009
0.00000031,0.00000056,0.00000042,0.00000059,0.00000024,0.00000055,0.00000007,0.6,52,3,8,6,5,2,5,6,4,9,1.00E-012,2.13E-012,1.57E-013,53.6103,0.00149681,435889,458875000,320149,0.596437,-0.000940075,0.548176,-0.00514255,0.139416,0.278478,-0.0749603,0.238122,4.09E-010
0.00000005,0.00000055,0.00000051,0.00000017,0.0000005,0.00000044,0.00000028,0.52,41,2,8,9,6,9,9,4,6,10,1.00E-012,1.51E-012,1.44E-013,30.7394,0.00219912,8682640,518454000,15657.5,0.517144,-0.00086719,0.506746,-0.0145121,0.0485636,0.33175,-0.0145591,0.328688,5.78E-010
0.00000057,0.00000049,0.00000018,0.00000007,0.00000025,0.00000032,0.00000033,0.56,94,9,2,3,5,5,6,9,5,9,1.00E-012,1.54E-012,9.11E-014,-51.1624,0.000000264,13646700,1323600000,10488.8,0.554215,-0.00172854,0.807183,0.861708,0.444154,-0.00838201,-0.0551058,-0.554499,0.00000367
0.0000002,0.00000058,0.00000052,0.00000032,0.00000057,0.00000043,0.0000005,0.54,94,3,3,4,2,8,6,9,7,2,1.00E-012,2.29E-012,1.33E-013,53.6403,0.00154698,457032,406304000,310838,0.5364,-0.000913914,0.509396,-0.051407,0.0622768,0.341903,-0.0181454,0.310459,3.62E-010
0.00000011,0.00000057,0.00000045,0.00000011,0.00000052,0.00000014,0.00000056,0.46,59,7,6,8,7,7,5,3,3,9,1.00E-012,2.68E-012,1.53E-013,10.6988,0.0000677,2074930,852464000,50644.1,0.456762,-0.000932996,0.848129,0.554761,0.367716,-0.0141291,-0.0197239,-0.169979,8.73E-008
0.00000026,0.00000037,0.00000024,0.00000022,0.00000051,0.00000007,0.00000013,0.56,55,9,8,4,5,2,4,9,6,4,1.00E-012,1.24E-012,1.55E-013,46.2164,0.00215675,1476570,1569200000,94846.7,0.556218,-0.00224894,0.602817,-0.0235559,0.128819,0.24985,-0.0611088,0.232387,6.76E-010
0.00000014,0.00000031,0.00000037,0.00000009,0.00000017,0.0000006,0.00000015,0.56,42,5,8,7,3,2,8,10,3,7,1.00E-012,4.1E-013,1.32E-013,62.5529,0.00305541,321222,472067000,439111,0.556813,-0.000781397,0.524811,0.0792526,0.124098,0.301907,-0.0508587,0.228333,3.14E-009
0.00000028,0.00000055,0.00000017,0.00000038,0.00000042,0.00000039,0.00000045,0.54,59,6,3,9,4,3,4,9,10,7,1.00E-012,1.44E-012,2E-013,46.3213,0.000957662,623978,599812000,216198,0.536348,-0.000562402,0.41042,-0.0688303,-0.02013,0.440855,-0.0459495,0.352376,8.49E-010
0.00000037,0.00000023,0.00000022,0.00000057,0.0000002,0.00000056,0.00000046,0.44,26,6,4,7,3,4,4,2,10,3,1.00E-012,4.62E-013,1.1E-013,41.973,0.000359871,419063,748699000,348741,0.436508,-0.000226624,0.49695,-0.0231687,-0.0450562,0.339053,0.0118167,0.433613,1.54E-009
0.0000006,0.00000035,0.00000042,0.00000015,0.00000005,0.00000044,0.00000024,0.52,10,5,10,5,9,5,7,8,5,7,1.00E-012,2.04E-013,3.48E-014,59.57,0.000661893,108809,181839000,1437850,0.516434,-0.000216067,0.560616,0.148824,0.127391,0.268928,0.0861921,0.19722,8.57E-009
0.00000018,0.00000046,0.00000046,0.00000038,0.00000014,0.0000004,0.00000025,0.48,21,6,6,6,2,10,4,3,3,3,1.00E-012,2.84E-013,5.51E-014,49.3967,0.000498065,259572,442722000,592308,0.476753,-0.000225343,0.535895,0.00530383,0.0294643,0.315392,0.058287,0.348068,1.23E-009
0.00000048,0.00000054,0.00000027,0.00000037,0.00000055,0.00000028,0.00000035,0.58,60,9,4,4,6,4,5,3,4,5,1.00E-012,2.87E-012,1.01E-013,55.8638,0.00140992,327787,519253000,440549,0.575889,-0.000590528,0.480258,-0.0521513,0.080871,0.371908,-0.0230795,0.285294,5E-010
0.0000004,0.00000031,0.00000042,0.00000043,0.00000047,0.00000054,0.00000021,0.6,20,10,7,3,6,9,2,8,7,2,1.00E-012,9.04E-013,5.05E-014,60.3308,0.000982987,143330,319526000,1056800,0.596262,-0.000276286,0.639181,0.17092,0.269158,0.179448,-0.051123,0.0999093,1.08E-009
0.0000001,0.00000058,0.00000006,0.00000051,0.0000001,0.00000032,0.00000038,0.56,88,10,2,3,4,5,7,7,3,3,1.00E-012,2.94E-012,1.45E-013,40.4899,0.0013449,1759700,510154000,78669,0.556721,-0.00082348,0.402749,-0.0829428,-0.00554858,0.461979,0.0656467,0.303095,7.32E-010
0.0000002,0.00000038,0.00000037,0.00000048,0.00000032,0.00000047,0.00000024,0.5,20,8,4,9,9,8,9,6,6,5,1.00E-012,1.09E-012,7.44E-014,45.8826,0.000599273,456407,549673000,328479,0.496664,-0.000331617,0.474404,-0.0557196,-0.00614914,0.374654,0.000171235,0.375502,7.78E-010
0.00000044,0.0000002,0.00000026,0.00000007,0.0000003,0.00000014,0.00000045,0.6,4,2,9,10,10,3,9,5,9,5,1.00E-012,5.62E-014,1.59E-014,52.9424,0.000314328,113307,1268710000,1411690,0.596648,-0.000122667,0.499998,0.0175871,0.175125,0.297629,-0.0363767,0.200822,3.85E-009
0.00000036,0.00000035,0.0000005,0.00000036,0.00000029,0.00000031,0.00000013,0.42,22,4,8,9,3,4,5,7,7,10,1.00E-012,4.42E-013,1.02E-013,55.0035,0.00105395,275825,717083000,533770,0.416558,-0.000525209,0.588897,0.0314053,-0.000213528,0.251348,-0.0596587,0.381263,9.09E-010
0.00000006,0.00000026,0.00000023,0.00000046,0.0000002,0.0000003,0.0000001,0.5,14,2,10,10,8,3,10,2,7,9,1.00E-012,6.16E-013,6.04E-014,28.6801,0.000547376,3068090,1018830000,49627.1,0.497057,-0.000545728,0.532588,-0.01835,0.0330514,0.309269,-0.0236616,0.345476,1.07E-009
0.00000042,0.00000053,0.00000039,0.00000013,0.00000017,0.00000011,0.00000034,0.44,11,8,9,10,8,3,9,5,8,4,1.00E-012,1.51E-013,7.54E-014,41.1963,0.000710281,933406,856387000,161579,0.436232,-0.000342625,0.514925,-0.0609282,-0.0242056,0.326431,-0.0158515,0.39807,1.42E-009
0.00000052,0.00000032,0.00000016,0.00000047,0.00000042,0.00000056,0.0000001,0.58,84,2,8,8,8,9,9,10,3,2,1.00E-012,2.6E-011,2.73E-013,55.3617,0.00317762,684039,706474000,184495,0.575582,-0.00148094,0.457982,-0.0343974,0.063488,0.385122,-0.0297807,0.297348,4.1E-010
